Model,TandemMoment_df,eg,minendmoment,LR1,minXreaction,HS20Moment_df,Iy1,St1,St2,Iy2,numberofgirders,maxZreaction,span,width,LR2,maxendmoment,minZreaction,A,Sb2,HS20Moment,Kg,numberofdiaphragms,df,maxXreaction,ybar2,Y,mindeflection,maxmoment,ybar1,girders,Sb1,I,girderspacing,df1,df2,haunch,TandemMoment
TX_24_110_P01,11540679.042653155,28.3979304029304,-2736197.9149117647,0.4545429751953418,-69259.64921847727,11540679.042653155,36533.098649261054,-2654.037758628691,-7913.032071192002,51022.58501506268,4,33919.681005149556,110,24,0.4995341081782061,2677029.0527207637,-7024.71305664856,68.25,1537.8864728168894,20328000.0,600692.2976287256,6,0.5677232901738073,70788.47576998398,33.17708160967598,49.62,-0.7463852521163664,6931156.121176762,25.8598986820228,"[1.25, 16, 1.875, 16, 0.5, 36.5]",1412.7317008654027,19632.497538919415,7.3333,0.3990381975308799,0.5677232901738073,1.9949999999999974,20328000.0
TX_24_110_R01,11553347.540742205,25.689999999999998,-2855598.8007076792,0.4545429751953418,-72002.43950590811,11553347.540742205,35868.89010151552,-2774.3646480440666,-7552.152942975006,49297.16988989183,4,34971.02284565317,110,24,0.500082459524906,2760220.9464667635,-7225.50096313956,81.4,1486.088374901802,20328000.0,608333.3400831951,6,0.5683464945268696,74488.05787087062,33.17243491198786,49.69,-0.7336547991325468,6911967.618479186,26.771313741399076,"[40, 277]",1339.82554789786,21900.0,7.3333,0.3994670185035623,0.5683464945268696,1.6899999999999977,20328000.0
TX_24_115_P01,12148077.92000411,27.932507987220447,-2969200.7363433493,0.4545429751953418,-74039.23996016117,12148077.92000411,40853.72172808043,-2872.506938413209,-7868.566769976223,56541.367427700156,4,34258.541471317374,115,24,0.49929809491713545,2906151.7943802513,-7153.994890993146,78.25,1710.0441399088324,21408000.0,682927.8539701673,6,0.5674550597909245,75644.03414231315,33.06427366881567,50.25,-0.7609188819421564,7186388.135705452,26.027676919851658,"[1.625, 16, 2.125, 16, 0.5, 36.5]",1569.6261273675466,23842.30892239084,7.3333,0.39734625163878173,0.5674550597909245,2.0,21408000.0
TX_24_115_R01,12221752.123191562,26.200000000000003,-3085893.275213601,0.4545429751953418,-77095.444228252,12221752.123191562,41130.93934388747,-2986.8222448308093,-7690.740085792775,57138.499753322285,4,35143.506054431215,115,24,0.5023261780047042,2983321.757201246,-7409.727554904959,95.3,1743.596616418871,21408000.0,732182.1821842971,6,0.5708964930489332,79743.94117273664,32.77048097895349,50.2,-0.7197799517743875,7177894.468097951,26.42919746393634,"[40, 324]",1556.26894838605,25600.0,7.3333,0.3997037350005065,0.5708964930489332,2.200000000000003,21408000.0
TX_24_120_P01,12733652.643714122,28.405979228486643,-2996504.9232482202,0.4545429751953418,-75006.4894549771,12733652.643714122,44096.91075946896,-2943.232784343817,-7717.619144403381,61263.17639142588,4,33902.8916681913,120,24,0.4982308352890478,2936622.52692209,-7100.011502584797,84.25,1874.2420589898286,22488000.0,757308.2955672108,6,0.5662421132921612,76533.97620874534,32.68690727410378,50.62,-0.8106252432606009,7559704.663355539,25.642525289186324,"[1.75, 16, 2.375, 16, 0.5, 36.5]",1719.6789419981585,26159.868802546982,7.3333,0.39508213607986287,0.5662421132921612,1.9949999999999974,22488000.0
TX_24_120_R01,12850741.6636679,26.6,-3211298.048539316,0.4545429751953418,-80157.3294812476,12850741.6636679,45517.27235932339,-3169.5793647931573,-7859.6968974682,63585.16576544025,4,35135.02966950543,120,24,0.5028121884833762,3106682.8289936306,-7486.539084850227,107.0,1955.8665020177664,22488000.0,841515.0063456049,6,0.5714488466590137,82854.24773913261,32.50997228074755,50.6,-0.7391357834883958,7539646.011047663,26.23933345070418,"[40, 362]",1734.696212647195,28900.0,7.3333,0.3986337113445951,0.5714488466590137,2.6000000000000014,22488000.0
TX_24_30_P01,2242884.1740839314,16.31338028169014,-588935.0685683624,0.4545429751953418,-20032.03481984324,2242884.1740839314,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,33510.881939009596,30,24,0.5998659583814528,432275.9054730389,-3468.0859918506244,35.5,466.98906549167503,3289887.6404494382,95347.31200407866,3,0.6817509955378069,25254.835899632773,20.54220254382916,29.25,-0.09129507095671408,1846548.5460648036,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.5358133534174923,0.6817509955378069,2.0,3289887.6404494382
TX_24_30_P02,2278786.3394130785,18.41111111111111,-595281.4862136157,0.4545429751953418,-17484.189753697054,2278786.3394130785,8252.285371271344,-2187.5217084881106,13071.011563844417,11448.237895852752,4,33489.02504392709,30,24,0.6094680979221335,423235.4991011816,-3363.947258767423,33.75,511.6336672191419,3289887.6404494382,113952.93987415833,3,0.6926638804909973,23018.679142267258,22.375849419911738,31.5,-0.07866969987837967,1864700.334233041,17.727564124620802,"[0.75, 12, 1.25, 12, 0.5, 19.5]",465.50588187184815,2725.3114583333336,7.3333,0.5443712238177448,0.6926638804909973,2.0,3289887.6404494382
TX_24_30_P03,2272523.0189956203,18.583414634146337,-603025.0438849712,0.4545429751953418,-16050.969136956019,2272523.0189956203,8504.126953210874,-2474.1994617342652,9836.227406501648,11440.501576775105,4,33255.7022084624,30,24,0.6077929544848211,441110.907625691,-2801.937859665205,30.75,452.4065566252157,3289887.6404494382,110488.91585406542,3,0.6907600706646523,20803.776349410084,25.288098523852046,34.12,-0.08202654220230951,1924775.5265108538,20.687877373172658,"[0.75, 12, 0.875, 12, 0.5, 22.5]",411.0681245741886,3115.5955602134145,7.3333,0.5428782585908161,0.6907600706646523,1.9949999999999974,3289887.6404494382
TX_24_30_P04,2360218.404455347,20.780201342281877,-650272.7719828823,0.4545429751953418,-15453.74500154014,2360218.404455347,12210.837086231888,-2204.668567475423,-81520.71025788815,16647.630854625517,4,33572.30696822101,30,24,0.6312473428354437,451336.77995257743,-2969.42914716587,37.25,615.5350987618241,3289887.6404494382,168798.17004173828,3,0.717416113376113,20956.845467395833,27.045786484171185,37.25,-0.05707750725099223,1912382.5111469433,21.711372894604935,"[0.75, 14, 1, 14, 0.5, 25.5]",562.4166258627598,4898.163940156599,7.3333,0.5637818931372052,0.717416113376113,2.0,3289887.6404494382
TX_24_30_P05,2454777.392035906,22.451171875,-655800.094770811,0.4545429751953418,-14612.619505333354,2454777.392035906,17744.233820495047,-2261.71100480647,-12499.034330457853,24402.62671720931,4,33507.197432469366,30,24,0.656537421727618,448785.62587722315,-2476.0592660653206,48.0,847.382894371599,3289887.6404494382,261489.3248447127,3,0.746158428590149,20028.472279935468,28.79763903578178,40.75,-0.04209982244383237,1950625.163814339,22.904508784373455,"[1, 15, 1.25, 15, 0.5, 28.5]",774.7048403238845,8311.151184082031,7.3333,0.5863215799074775,0.746158428590149,2.0,3289887.6404494382
TX_24_30_P06,2380344.7278976124,22.5,-694368.3047393643,0.4545429751953418,-13636.526857776591,2380344.7278976124,14159.460897973711,-2382.633444253073,-71637.74258611593,18780.80155236927,4,33821.14926711184,30,24,0.6366301871391717,486954.6255967366,-2803.006998335209,33.75,573.6726540913053,3289887.6404494382,185579.187684818,3,0.723533745843195,18585.51349766064,32.737836496874635,43.0,-0.050539099331281694,1920009.398389457,27.057222300758674,"[0.75, 12, 0.75, 12, 0.5, 31.5]",523.3153921190457,5983.453125,7.3333,0.5685793326808484,0.723533745843195,2.0,3289887.6404494382
TX_24_30_P07,2432691.81516077,24.4770205479452,-683397.4622474181,0.4545429751953418,-12933.353256862909,2432691.81516077,17523.359068282174,-2344.8004444322387,-19375.69333635206,23427.46124175754,4,33445.84301556901,30,24,0.6506305693401014,488177.86652472947,-1955.6401911725786,36.5,680.7165335759416,3289887.6404494382,236480.61245370648,3,0.7394452580235946,17286.978098794923,34.41588397844305,45.62,-0.0445401986849933,1997229.8006673157,28.151716245771944,"[0.75, 12, 0.875, 12, 0.5, 34]",622.4614838860482,7528.912680151256,7.3333,0.5810571201491468,0.7394452580235946,1.9949999999999974,3289887.6404494382
TX_24_30_P08,2482152.7010138542,26.461783439490446,-717808.2059617658,0.4545429751953418,-12440.17583546428,2482152.7010138542,21312.606464321456,-2359.1198010886783,-13096.353508811391,28725.214895429508,4,33740.82382174989,30,24,0.6638590284988426,494818.9921214627,-2274.1393249399043,39.25,796.6695420589872,3289887.6404494382,295778.70710877556,3,0.754479475376479,17214.758580797992,36.056624960443926,48.25,-0.03591575781269919,1966114.982087243,29.215865127118093,"[0.75, 12, 1, 12, 0.5, 36.5]",729.4874333376885,9284.447883492569,7.3333,0.5928469341375733,0.754479475376479,2.0,3289887.6404494382
TX_24_30_R01,2254283.7181780427,16.25,-676586.7467703009,0.4545429751953418,-20701.907420393298,2254283.7181780427,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,34130.21421184212,30,24,0.6029147999231337,461713.40017159405,-3320.749770005575,38.2,492.0269841301811,3289887.6404494382,100934.47641637054,3,0.685216020894282,27989.403968241855,21.414412164347148,29.25,-0.07727261637312129,1875025.950767563,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.5385306218631414,0.685216020894282,3.25,3289887.6404494382
TX_24_30_R02,2269868.3406483047,17.18,-676948.4303553768,0.4545429751953418,-18944.58843707056,2269868.3406483047,8100.966702867745,-2826.011737687261,6988.1700715704665,11204.042143802646,4,34126.1920375468,30,24,0.6070829529656131,464084.1890962577,-3374.3740358874625,35.9,480.79235129796564,3289887.6404494382,109049.52614679738,3,0.6899531499921417,25795.3866391204,23.303286987731358,31.68,-0.07281098690149666,1862442.3488859509,18.833427793368834,"[21, 122]",430.1376675423929,2960.0,7.3333,0.5422454724331455,0.6899531499921417,2.6799999999999997,3289887.6404494382
TX_24_30_R03,2262659.372940794,18.060000000000002,-701502.802101155,0.4545429751953418,-17681.767368320427,2262659.372940794,8204.453195389866,-2650.9717451072306,7961.52817581218,10983.571084416788,4,34176.93529394556,30,24,0.60515489338377,488566.17732881434,-3452.4994072686018,30.6,431.0734618540452,3289887.6404494382,105225.50443821387,3,0.6877618995619217,24087.433242701693,25.479580759104245,34.06,-0.07194117093804962,1855201.5490074207,21.005114809113895,"[24, 104]",390.59311362726004,3100.0,7.3333,0.540527096652886,0.6877618995619217,2.0600000000000023,3289887.6404494382
TX_24_30_R04,2376844.755774093,19.880000000000003,-755886.2836786128,0.4545429751953418,-17790.737866247626,2376844.755774093,12839.488858347466,-2359.984610379663,-86290.58725317554,17636.351546193255,4,34248.00822914887,30,24,0.6356941093173908,505896.09580147936,-2773.739444998547,43.1,648.4997827011613,3289887.6404494382,182557.31249949924,3,0.7224698881963602,24761.17181456765,27.195616739813712,37.38,-0.047661176221234995,1921091.8142944432,21.959503141725186,"[27, 146]",584.6894064716424,5660.0,7.3333,0.5677450568770639,0.7224698881963602,2.3800000000000026,3289887.6404494382
TX_24_30_R05,2449056.576625333,21.439999999999998,-789330.0087953216,0.4545429751953418,-17025.15991504315,2449056.576625333,17087.274872771697,-2381.701583156156,-15862.468278346225,23621.432982651433,4,34249.0224985817,30,24,0.6550073728474131,515559.42782621627,-2329.6857273446803,51.0,817.0435893852684,3289887.6404494382,254792.82603902783,3,0.7444195195343397,24128.66149824687,28.9108601909769,40.44,-0.03570533354756969,1951593.1003287253,23.225602084821986,"[30, 173]",735.7085861700133,8230.0,7.3333,0.5849579296535552,0.7444195195343397,2.4399999999999977,3289887.6404494382
TX_24_30_R06,2381999.573646707,22.36,-805947.9878467906,0.4545429751953418,-15496.192039634092,2381999.573646707,13924.293913075528,-2293.2498585986446,-43958.66547833374,18555.419485989718,4,34453.134047072905,30,24,0.6370727804940691,550016.589193854,-2686.924248641343,34.7,571.3246716309598,3289887.6404494382,187023.59416563538,3,0.7240367556508092,21681.54960089809,32.47788938121574,42.86,-0.04411639190759253,1920994.4400827745,26.82813920346893,"[33, 118]",519.0182519731034,5900.0,7.3333,0.5689737923275946,0.7240367556508092,1.8599999999999994,3289887.6404494382
TX_24_30_R07,2435800.61222378,23.549999999999997,-821607.2323646653,0.4545429751953418,-15309.805075357373,2435800.61222378,17126.47153823335,-2214.44870410743,-13557.85214137403,22985.59463815366,4,34295.600073031674,30,24,0.6514620262432995,543979.5860857147,-1824.6345137254245,39.7,677.9485746015546,3289887.6404494382,239865.37862999836,3,0.740390213415015,21253.167717378547,33.90462860942337,45.55,-0.03802333541590445,2000456.1756697537,27.86603375076306,"[36, 135]",614.6002582001599,7800.0,7.3333,0.5817981529565559,0.740390213415015,1.5499999999999972,3289887.6404494382
TX_24_30_R08,2474011.8467920953,24.200000000000003,-834510.2690266726,0.4545429751953418,-15153.919627065052,2474011.8467920953,19086.710397512757,-2008.2324394766622,-7413.591933263079,25425.12599490344,4,34349.676662445636,30,24,0.6616817331323649,575632.1350603347,-1760.5374901138816,43.8,731.2275334127105,3289887.6404494382,285181.94641946635,3,0.7520049670918596,21206.891526770887,34.77047134185701,48.2,-0.03399655422426978,2010657.7519005402,28.695766315533337,"[40, 149]",665.1402923915264,9800.0,7.3333,0.5909064279107636,0.7520049670918596,0.20000000000000284,3289887.6404494382
TX_24_35_P01,2753055.420401162,16.31338028169014,-607629.026440033,0.4545429751953418,-24616.512282173335,2753055.420401162,6878.3953832717525,-2401.6692420772965,7423.746389367709,9592.983969083489,4,33717.597994717056,35,24,0.5754938061599861,531196.2135830859,-4267.230245873786,35.5,466.98906549167503,4209230.769230769,95347.31200407866,3,0.6540519090865334,28157.380718532448,20.54220254382916,29.25,-0.13831814587369579,2145700.3609975614,16.385993890098554,"[1, 12, 1.25, 12, 0.5, 17]",419.77285170526704,2405.1594776995307,7.3333,0.5070738756647613,0.6540519090865334,2.0,4209230.769230769
TX_24_35_P02,2796893.2771723154,18.41111111111111,-599747.1582234689,0.4545429751953418,-21739.25262138114,2796893.2771723154,8252.285371271344,-2187.5217084881106,13071.011563844417,11448.237895852752,4,33719.61789832182,35,24,0.5846575937322143,526230.2957332897,-4194.424191689461,33.75,511.6336672191419,4209230.769230769,113952.93987415833,3,0.6644666045913762,24775.242231339842,22.375849419911738,31.5,-0.11867211733055397,2167209.193166773,17.727564124620802,"[0.75, 12, 1.25, 12, 0.5, 19.5]",465.50588187184815,2725.3114583333336,7.3333,0.515114844376122,0.6644666045913762,2.0,4209230.769230769
TX_24_35_P03,2789245.533899587,18.583414634146337,-680037.0393139528,0.4545429751953418,-19168.45917160875,2789245.533899587,8504.126953210874,-2474.1994617342652,9836.227406501648,11440.501576775105,4,34204.210267359194,35,24,0.5830589230872493,526731.3527966195,-3646.3562648490333,30.75,452.4065566252157,4209230.769230769,110488.91585406542,3,0.6626497065185423,23460.18623444645,25.288098523852046,34.12,-0.11287916831946007,2238327.865553184,20.687877373172658,"[0.75, 12, 0.875, 12, 0.5, 22.5]",411.0681245741886,3115.5955602134145,7.3333,0.5137120553508839,0.6626497065185423,1.9949999999999974,4209230.769230769
TX_24_35_P04,2896324.8064735336,20.780201342281877,-666712.7479732742,0.4545429751953418,-17850.869789449833,2896324.8064735336,12210.837086231888,-2204.668567475423,-81520.71025788815,16647.630854625517,4,33814.367181943235,35,24,0.605442583684043,521263.6937978466,-3851.381355914721,37.25,615.5350987618241,4209230.769230769,168798.17004173828,3,0.6880888611870603,21487.161263447295,27.045786484171185,37.25,-0.08579123067690123,2227917.436003643,21.711372894604935,"[0.75, 14, 1, 14, 0.5, 25.5]",562.4166258627598,4898.163940156599,7.3333,0.5333530949413259,0.6880888611870603,2.0,4209230.769230769
TX_24_35_P05,3011784.788231695,22.451171875,-692153.8207355139,0.4545429751953418,-15806.37364832901,3011784.788231695,17744.233820495047,-2261.71100480647,-12499.034330457853,24402.62671720931,4,33772.57142561752,35,24,0.6295781328156638,485419.74008180894,-3346.8066731765803,48.0,847.382894371599,4209230.769230769,261489.3248447127,3,0.7155190469117697,21140.28780561939,28.79763903578178,40.75,-0.06279855958513311,2277388.9091880326,22.904508784373455,"[1, 15, 1.25, 15, 0.5, 28.5]",774.7048403238845,8311.151184082031,7.3333,0.5545313679937294,0.7155190469117697,2.0,4209230.769230769
TX_24_35_P06,2920899.783394929,22.5,-709850.291805594,0.4545429751953418,-14974.805612417895,2920899.783394929,14159.460897973711,-2382.633444253073,-71637.74258611593,18780.80155236927,4,34057.89835258885,35,24,0.6105796931297828,534696.9384487849,-3705.5992996026907,33.75,573.6726540913053,4209230.769230769,185579.187684818,3,0.6939272146223333,18999.975517637457,32.737836496874635,43.0,-0.07609569859737442,2235199.5310265245,27.057222300758674,"[0.75, 12, 0.75, 12, 0.5, 31.5]",523.3153921190457,5983.453125,7.3333,0.5378607655954575,0.6939272146223333,2.0,4209230.769230769
TX_24_35_P07,2984817.491220935,24.4770205479452,-706359.5056955527,0.4545429751953418,-13770.204964238992,2984817.491220935,17523.359068282174,-2344.8004444322387,-19375.69333635206,23427.46124175754,4,33697.839882729444,35,24,0.623940937035454,519742.2863296918,-2759.61212232434,36.5,680.7165335759416,4209230.769230769,236480.61245370648,3,0.709112342578073,17868.72417662069,34.41588397844305,45.62,-0.06681653233212392,2336010.797624592,28.151716245771944,"[0.75, 12, 0.875, 12, 0.5, 34]",622.4614838860482,7528.912680151256,7.3333,0.5495848854905934,0.709112342578073,1.9949999999999974,4209230.769230769
TX_24_35_P08,3045211.041579905,26.461783439490446,-753414.4112182644,0.4545429751953418,-13379.59293730919,3045211.041579905,21312.606464321456,-2359.1198010886783,-13096.353508811391,28725.214895429508,4,33999.29822699269,35,24,0.6365654973352731,532168.7389253626,-3139.479713581528,39.25,796.6695420589872,4209230.769230769,295778.70710877556,3,0.7234602255215418,18069.12321875052,36.056624960443926,48.25,-0.05384050031853421,2296917.5885377135,29.215865127118093,"[0.75, 12, 1, 12, 0.5, 36.5]",729.4874333376885,9284.447883492569,7.3333,0.560662586011847,0.7234602255215418,2.0,4209230.769230769
TX_24_35_R01,2766974.680609359,16.25,-671835.1324366232,0.4545429751953418,-24902.7511261725,2766974.680609359,7417.926755393455,-3312.546861896993,4983.166863967445,10536.468634144392,4,34335.000262446745,35,24,0.5784034635452991,555267.9561352899,-4186.970329532662,38.2,492.0269841301811,4209230.769230769,100934.47641637054,3,0.6573587508757615,27794.510768702057,21.414412164347148,29.25,-0.11877378127692555,2182405.3193746647,17.060657565114283,"[18, 130]",434.7972361019465,2460.0,7.3333,0.5096270190906289,0.6573587508757615,3.25,4209230.769230769
TX_24_35_R02,2786004.0745587316,17.18,-668246.3418425372,0.4545429751953418,-22885.675018938604,2786004.0745587316,8100.966702867745,-2826.011737687261,6988.1700715704665,11204.042143802646,4,34345.72030465,35,24,0.5823813341946472,560527.0765607419,-4247.336666320909,35.9,480.79235129796564,4209230.769230769,109049.52614679738,3,0.6618796229763069,25692.808323498415,23.303286987731358,31.68,-0.11194998636246617,2164834.7873124755,18.833427793368834,"[21, 122]",430.1376675423929,2960.0,7.3333,0.5131174899442074,0.6618796229763069,2.6799999999999997,4209230.769230769
TX_24_35_R03,2777201.6613635262,18.060000000000002,-688868.9289670789,0.4545429751953418,-21468.84537958363,2777201.6613635262,8204.453195389866,-2650.9717451072306,7961.52817581218,10983.571084416788,4,34397.466650906616,35,24,0.5805412934037635,593159.5989369287,-4327.794186790014,30.6,431.0734618540452,4209230.769230769,105225.50443821387,3,0.6597884063911886,24349.430803996896,25.479580759104245,34.06,-0.1106244056258071,2155824.488156116,21.005114809113895,"[24, 104]",390.59311362726004,3100.0,7.3333,0.5115029053294393,0.6597884063911886,2.0600000000000023,4209230.769230769
TX_24_35_R04,2916626.189441828,19.880000000000003,-765915.6568609347,0.4545429751953418,-18868.496966158546,2916626.189441828,12839.488858347466,-2359.984610379663,-86290.58725317554,17636.351546193255,4,34479.02287819368,35,24,0.6096863486544675,536380.6648991585,-3709.0176435125322,43.1,648.4997827011613,4209230.769230769,182557.31249949924,3,0.6929119236612531,25091.506657535105,27.195616739813712,37.38,-0.07348671491284901,2238968.55469158,21.959503141725186,"[27, 146]",584.6894064716424,5660.0,7.3333,0.5370768806660154,0.6929119236612531,2.3800000000000026,4209230.769230769
TX_24_35_R05,3004799.463411209,21.439999999999998,-815953.249293047,0.4545429751953418,-18211.20075217338,3004799.463411209,17087.274872771697,-2381.701583156156,-15862.468278346225,23621.432982651433,4,34494.44036188552,35,24,0.628117932945216,551432.2445756397,-3256.63260500015,51.0,817.0435893852684,4209230.769230769,254792.82603902783,3,0.7138595216437449,24945.07045704904,28.9108601909769,40.44,-0.05520906980944531,2278555.9416867374,23.225602084821986,"[30, 173]",735.7085861700133,8230.0,7.3333,0.5532500832216787,0.7138595216437449,2.4399999999999977,4209230.769230769
TX_24_35_R06,2922920.4105705344,22.36,-812231.6803484904,0.4545429751953418,-16081.935822286376,2922920.4105705344,13924.293913075528,-2293.2498585986446,-43958.66547833374,18555.419485989718,4,34682.24576203221,35,24,0.6110020814389692,570788.9237696063,-3638.151561575536,34.7,571.3246716309598,4209230.769230769,187023.59416563538,3,0.6944072612832045,21851.075400284062,32.47788938121574,42.86,-0.06800009943807497,2236477.5024248445,26.82813920346893,"[33, 118]",519.0182519731034,5900.0,7.3333,0.5382313995883825,0.6944072612832045,1.8599999999999994,4209230.769230769
